105 190
105 190
105 190
105 190
105 190
105 190
105 190
105 190
105 190
105 190
105 190
105 190
105 190
105 190
105 190
105 190
105 190
105 190
105 190
105 190
105 190
105 190
105 190
105 190
105 190
105 190
105 190
105 190
105 190
105 190
105 190
105 190
105 190
105 190
105 190
105 190
105 190
105 190
105 190
105 189
105 188
105 187
105 186
105 184
105 180
105 170
105 168
105 165
105 160
105 155
105 152
105 150
105 140
105 135
105 130
105 125
105 120
105 115
105 110
105 105
105 104
105 103
105 100
105 95
105 90
105 85
105 80
105 75
105 70
105 68
105 65
105 64
105 63
105 62
105 61
105 60
105 59
105 58
105 57
105 56
105 55
105 54
105 53
105 52
105 51
105 50
105 49
105 48
105 47
105 40
105 35
105 30
105 25
105 20
105 10
105 -10
105 -20
105 -40
105 -50
